"Account_ID","AWS_Account_Id","Rule_Name","Service","Provider","Categories","Risk_level","Status","Message","Account_name","Region","compliances","Time"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFront In Use","CloudFront","aws","security,sustainability","MEDIUM","FAILURE","CloudFront global content delivery network (CDN) service isn't in use","FB-WHATSAPP-PROD","global","AWAF,CIS-V8,NIST4,NIST5,SOC2,NIST-CSF,ISO27001,ISO27001-2022,AGISM,HIPAA,HITRUST,PCI-V4,APRA,MAS,CSA,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Notification","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-ebfpm4lc-conformance-pack-k0ouq6lit doesn't have SNS notification enabled","FB-WHATSAPP-PROD","eu-central-1","AWAF,CIS-V8,NIST5,SOC2,NIST-CSF,ISO27001-2022,HIPAA,HITRUST,PCI,PCI-V4,APRA,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Notification","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-eq0gyedy-conformance-pack-0rwa5y7rb doesn't have SNS notification enabled","FB-WHATSAPP-PROD","us-west-2","AWAF,CIS-V8,NIST5,SOC2,NIST-CSF,ISO27001-2022,HIPAA,HITRUST,PCI,PCI-V4,APRA,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Notification","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-fgkgisun-conformance-pack-sfijtkdm4 doesn't have SNS notification enabled","FB-WHATSAPP-PROD","eu-west-1","AWAF,CIS-V8,NIST5,SOC2,NIST-CSF,ISO27001-2022,HIPAA,HITRUST,PCI,PCI-V4,APRA,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Notification","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-iwydqbjd-conformance-pack-trrbw249c doesn't have SNS notification enabled","FB-WHATSAPP-PROD","us-east-2","AWAF,CIS-V8,NIST5,SOC2,NIST-CSF,ISO27001-2022,HIPAA,HITRUST,PCI,PCI-V4,APRA,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Policy","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-jmt4td9v-conformance-pack-t8bxfkxpi doesn't have a stack policy assigned","FB-WHATSAPP-PROD","ap-northeast-1","AWAF,CIS-V8,NIST4,NIST5,SOC2,NIST-CSF,ISO27001,ISO27001-2022,AGISM,HIPAA,HITRUST,PCI-V4,APRA,FEDRAMP,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Notification","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-jmt4td9v-conformance-pack-t8bxfkxpi doesn't have SNS notification enabled","FB-WHATSAPP-PROD","ap-northeast-1","AWAF,CIS-V8,NIST5,SOC2,NIST-CSF,ISO27001-2022,HIPAA,HITRUST,PCI,PCI-V4,APRA,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Notification","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-nr0b3l2t-conformance-pack-xrsdtltqd doesn't have SNS notification enabled","FB-WHATSAPP-PROD","eu-west-2","AWAF,CIS-V8,NIST5,SOC2,NIST-CSF,ISO27001-2022,HIPAA,HITRUST,PCI,PCI-V4,APRA,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Policy","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-pk9a11sx-conformance-pack-d4ycssb0h doesn't have a stack policy assigned","FB-WHATSAPP-PROD","ap-southeast-1","AWAF,CIS-V8,NIST4,NIST5,SOC2,NIST-CSF,ISO27001,ISO27001-2022,AGISM,HIPAA,HITRUST,PCI-V4,APRA,FEDRAMP,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
"ad340689-66a6-45cc-a0bb-37aca9e84079","311294737563","CloudFormation Stack Notification","CloudFormation","aws","security","MEDIUM","FAILURE","Stack awsconfigconforms-OrgConformsPack-techm-aws-config-conformance-pack-pk9a11sx-conformance-pack-d4ycssb0h doesn't have SNS notification enabled","FB-WHATSAPP-PROD","ap-southeast-1","AWAF,CIS-V8,NIST5,SOC2,NIST-CSF,ISO27001-2022,HIPAA,HITRUST,PCI,PCI-V4,APRA,MAS,ENISA,FISC-V9","2023-06-18T00:37:23"
