"id","href","userID","role","passwordChangeRequired","created","updated","timestamp"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-18T00:00:52"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-18T00:00:52"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-22T00:00:49"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-22T00:00:49"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-23T00:00:48"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-23T00:00:48"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-24T00:00:49"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-24T00:00:49"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-25T00:00:48"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-25T00:00:48"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-26T00:00:48"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-26T00:00:48"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-27T00:00:48"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-27T00:00:48"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-06-28T00:00:48"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-06-28T00:00:48"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-07-13T09:04:07"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-07-13T09:04:08"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-07-13T11:18:14"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-07-13T11:18:14"
"3cc90466-8a67-4309-8411-0e641eac65ce","/api/users/3cc90466-8a67-4309-8411-0e641eac65ce","administrator","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-04-05T10:54:17Z","2023-04-05T11:13:08Z","2023-07-14T08:59:04"
"5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","/api/users/5fe742cf-dbe6-4d09-a846-ae4d1ca3ed9b","reportuser","3020d6eb-672c-46ab-ac31-8cc5989d6654","false","2023-06-09T09:45:57Z","2023-06-09T09:45:57Z","2023-07-14T08:59:04"
